1010위: 하다(26회)
1010위: 않겠습니다(26회)
1010위: 아웃(26회)
1010위: 그런가(26회)
1010위: 먹음(26회)
1010위: 쓴(26회)
1010위: 힘을(26회)
1010위: 모르지(26회)
1010위: A(26회)
1048위: 시절(25회)
1048위: 가만히(25회)
1048위: 도서관(25회)
1048위: 완전히(25회)
1048위: 2번(25회)
1048위: 것으로(25회)
1048위: 같네(25회)
1048위: 분명히(25회)
1048위: 안감(25회)
1048위: 홍콩(25회)
1048위: 준비(25회)
1048위: 끝(25회)
1048위: 좋겠다(25회)
1048위: 상엽이는(25회)
1048위: 하니까(25회)
1048위: 학생(25회)
1048위: 아니라고(25회)
1048위: 안되지(25회)
1048위: 동안(25회)
1048위: 게다가(25회)
1048위: 그러니(25회)
1048위: 정도는(25회)
1048위: 돼(25회)
1048위: 개새끼(25회)
1048위: 우리의(25회)
1048위: ㅎㅎㅎ(25회)
1048위: (멘붕)(25회)
1048위: 많은데(25회)
1048위: 머임(25회)
1048위: 그럴(25회)
1048위: 동아일보(25회)
1048위: 되어(25회)
1048위: the(25회)
1048위: 아하(25회)
1048위: 보다(25회)
1048위: 서울대(25회)
1048위: 7시(25회)
1048위: 단(25회)
1048위: 할인(25회)
1048위: 나의(25회)
1048위: 내년(25회)
1048위: 중국에서(25회)
1048위: 청주(25회)
1048위: 몰라도(25회)
1048위: 임(25회)
1048위: 자기는(25회)
1048위: 나라는(25회)
1048위: 기만이는(25회)
1048위: 인기(25회)
1048위: 잡고(25회)
1048위: 누구도(25회)
1099위: 김밥(24회)
1099위: 충분히(24회)
1099위: (깜짝)(24회)
1099위: 안돼(24회)
1099위: 나이(24회)
1099위: 되어서(24회)
1099위: 나오고(24회)
1099위: 굿(24회)
1099위: 몰라서(24회)
1099위: 안철수(24회)
1099위: 6시(24회)
1099위: ㅂㅂ(24회)
1099위: 그렇습니다(24회)
1099위: 갓남대(24회)
1099위: 대놓고(24회)
1099위: 상엽이가(24회)
1099위: 우리나라는(24회)
1099위: 남조선은(24회)
1099위: ㅠ.ㅠ(24회)
1099위: 좋은데(24회)
1099위: 한국경제(24회)
1099위: 입고(24회)
1099위: 세대가(24회)
1099위: 천안함(24회)
1099위: 되냐(24회)
1099위: 취업(24회)
1099위: 식당(24회)
1099위: 다르지(24회)
1099위: 그것이(24회)
1099위: 길(24회)
1099위: 밤에(24회)
1099위: 눈에(24회)
1099위: 만나고(24회)
1099위: 그래놓고(24회)
1099위: (우와)(24회)
1099위: 자주(24회)
1099위: 보러(24회)
1099위: 좀만(24회)
1099위: 닥터(24회)
1099위: 말자(24회)
1099위: 찍고(24회)
1099위: 갤럭시(24회)
1099위: 청원(24회)
1099위: 등장(24회)
1099위: 겜(24회)
1099위: 인터넷(24회)
1099위: 20대(24회)
1099위: 답이다(24회)
1099위: 무섭다(24회)
1099위: 문제다(24회)
